Anno;Continente;Area;Paese;Sesso;Trasferiti dall'Italia (espatri) (p);Trasferiti in Italia (rimpatri) (p);Saldo migratorio con l'Italia (p)
2024;Europa;Unione europea;Austria;Maschi;1550;414;1136
2024;Europa;Unione europea;Austria;Femmine;1370;299;1071
2024;Europa;Unione europea;Austria;Totale;2920;713;2207
2024;Europa;Unione europea;Belgio;Maschi;2183;564;1619
2024;Europa;Unione europea;Belgio;Femmine;2259;479;1780
2024;Europa;Unione europea;Belgio;Totale;4442;1043;3399
2024;Europa;Unione europea;Bulgaria;Maschi;181;104;77
2024;Europa;Unione europea;Bulgaria;Femmine;94;27;67
2024;Europa;Unione europea;Bulgaria;Totale;275;131;144
2024;Europa;Unione europea;Danimarca;Maschi;1029;167;862
2024;Europa;Unione europea;Danimarca;Femmine;910;108;802
2024;Europa;Unione europea;Danimarca;Totale;1939;275;1664
2024;Europa;Unione europea;Finlandia;Maschi;175;55;120
2024;Europa;Unione europea;Finlandia;Femmine;126;48;78
2024;Europa;Unione europea;Finlandia;Totale;301;103;198
2024;Europa;Unione europea;Francia;Maschi;6372;1812;4560
2024;Europa;Unione europea;Francia;Femmine;6160;1473;4687
2024;Europa;Unione europea;Francia;Totale;12532;3285;9247
2024;Europa;Unione europea;Germania;Maschi;10730;4577;6153
2024;Europa;Unione europea;Germania;Femmine;9127;3484;5643
2024;Europa;Unione europea;Germania;Totale;19857;8061;11796
2024;Europa;Unione europea;Grecia;Maschi;270;92;178
2024;Europa;Unione europea;Grecia;Femmine;211;77;134
2024;Europa;Unione europea;Grecia;Totale;481;169;312
2024;Europa;Unione europea;Irlanda;Maschi;1204;329;875
2024;Europa;Unione europea;Irlanda;Femmine;1161;259;902
2024;Europa;Unione europea;Irlanda;Totale;2365;588;1777
2024;Europa;Unione europea;Lussemburgo;Maschi;777;255;522
2024;Europa;Unione europea;Lussemburgo;Femmine;547;125;422
2024;Europa;Unione europea;Lussemburgo;Totale;1324;380;944
2024;Europa;Unione europea;Malta;Maschi;841;274;567
2024;Europa;Unione europea;Malta;Femmine;613;201;412
2024;Europa;Unione europea;Malta;Totale;1454;475;979
2024;Europa;Unione europea;Paesi Bassi;Maschi;2826;616;2210
2024;Europa;Unione europea;Paesi Bassi;Femmine;2399;486;1913
2024;Europa;Unione europea;Paesi Bassi;Totale;5225;1102;4123
2024;Europa;Unione europea;Polonia;Maschi;634;176;458
2024;Europa;Unione europea;Polonia;Femmine;275;84;191
2024;Europa;Unione europea;Polonia;Totale;909;260;649
2024;Europa;Unione europea;Portogallo;Maschi;976;353;623
2024;Europa;Unione europea;Portogallo;Femmine;913;233;680
2024;Europa;Unione europea;Portogallo;Totale;1889;586;1303
2024;Europa;Unione europea;Romania;Maschi;613;263;350
2024;Europa;Unione europea;Romania;Femmine;360;120;240
2024;Europa;Unione europea;Romania;Totale;973;383;590
2024;Europa;Unione europea;Spagna;Maschi;9600;1351;8249
2024;Europa;Unione europea;Spagna;Femmine;9294;1052;8242
2024;Europa;Unione europea;Spagna;Totale;18894;2403;16491
2024;Europa;Unione europea;Svezia;Maschi;511;179;332
2024;Europa;Unione europea;Svezia;Femmine;509;118;391
2024;Europa;Unione europea;Svezia;Totale;1020;297;723
2024;Europa;Unione europea;Ungheria;Maschi;182;105;77
2024;Europa;Unione europea;Ungheria;Femmine;108;53;55
2024;Europa;Unione europea;Ungheria;Totale;290;158;132
2024;Europa;Unione europea;Estonia;Maschi;53;22;31
2024;Europa;Unione europea;Estonia;Femmine;18;8;10
2024;Europa;Unione europea;Estonia;Totale;71;30;41
2024;Europa;Unione europea;Lettonia;Maschi;81;31;50
2024;Europa;Unione europea;Lettonia;Femmine;49;15;34
2024;Europa;Unione europea;Lettonia;Totale;130;46;84
2024;Europa;Unione europea;Lituania;Maschi;68;23;45
2024;Europa;Unione europea;Lituania;Femmine;18;5;13
2024;Europa;Unione europea;Lituania;Totale;86;28;58
2024;Europa;Unione europea;Croazia;Maschi;183;53;130
2024;Europa;Unione europea;Croazia;Femmine;121;36;85
2024;Europa;Unione europea;Croazia;Totale;304;89;215
2024;Europa;Unione europea;Slovenia;Maschi;101;74;27
2024;Europa;Unione europea;Slovenia;Femmine;85;44;41
2024;Europa;Unione europea;Slovenia;Totale;186;118;68
2024;Europa;Unione europea;Slovacchia;Maschi;199;50;149
2024;Europa;Unione europea;Slovacchia;Femmine;53;18;35
2024;Europa;Unione europea;Slovacchia;Totale;252;68;184
2024;Europa;Unione europea;Repubblica ceca;Maschi;341;137;204
2024;Europa;Unione europea;Repubblica ceca;Femmine;191;69;122
2024;Europa;Unione europea;Repubblica ceca;Totale;532;206;326
2024;Europa;Unione europea;Cipro;Maschi;76;40;36
2024;Europa;Unione europea;Cipro;Femmine;32;23;9
2024;Europa;Unione europea;Cipro;Totale;108;63;45
2024;Europa;Europa centro orientale;Albania;Maschi;361;122;239
2024;Europa;Europa centro orientale;Albania;Femmine;175;89;86
2024;Europa;Europa centro orientale;Albania;Totale;536;211;325
2024;Europa;Europa centro orientale;Ucraina;Maschi;84;44;40
2024;Europa;Europa centro orientale;Ucraina;Femmine;20;35;-15
2024;Europa;Europa centro orientale;Ucraina;Totale;104;79;25
2024;Europa;Europa centro orientale;Federazione russa;Maschi;181;121;60
2024;Europa;Europa centro orientale;Federazione russa;Femmine;130;87;43
2024;Europa;Europa centro orientale;Federazione russa;Totale;311;208;103
2024;Europa;Europa centro orientale;Bosnia-Erzegovina;Maschi;41;4;37
2024;Europa;Europa centro orientale;Bosnia-Erzegovina;Femmine;24;5;19
2024;Europa;Europa centro orientale;Bosnia-Erzegovina;Totale;65;9;56
2024;Europa;Europa centro orientale;Macedonia del Nord;Maschi;31;15;16
2024;Europa;Europa centro orientale;Macedonia del Nord;Femmine;32;7;25
2024;Europa;Europa centro orientale;Macedonia del Nord;Totale;63;22;41
2024;Europa;Europa centro orientale;Moldova;Maschi;58;19;39
2024;Europa;Europa centro orientale;Moldova;Femmine;90;18;72
2024;Europa;Europa centro orientale;Moldova;Totale;148;37;111
2024;Europa;Europa centro orientale;Bielorussia;Maschi;16;6;10
2024;Europa;Europa centro orientale;Bielorussia;Femmine;18;12;6
2024;Europa;Europa centro orientale;Bielorussia;Totale;34;18;16
2024;Europa;Europa centro orientale;Montenegro;Maschi;5;9;-4
2024;Europa;Europa centro orientale;Montenegro;Femmine;5;4;1
2024;Europa;Europa centro orientale;Montenegro;Totale;10;13;-3
2024;Europa;Europa centro orientale;Serbia;Maschi;66;34;32
2024;Europa;Europa centro orientale;Serbia;Femmine;62;27;35
2024;Europa;Europa centro orientale;Serbia;Totale;128;61;67
2024;Europa;Europa centro orientale;Kosovo;Maschi;9;5;4
2024;Europa;Europa centro orientale;Kosovo;Femmine;4;5;-1
2024;Europa;Europa centro orientale;Kosovo;Totale;13;10;3
2024;Europa;Europa centro orientale;Turchia;Maschi;81;70;11
2024;Europa;Europa centro orientale;Turchia;Femmine;70;63;7
2024;Europa;Europa centro orientale;Turchia;Totale;151;133;18
2024;Europa;Altri paesi europei;Andorra;Maschi;16;3;13
2024;Europa;Altri paesi europei;Andorra;Femmine;17;1;16
2024;Europa;Altri paesi europei;Andorra;Totale;33;4;29
2024;Europa;Altri paesi europei;Regno Unito;Maschi;9623;3258;6365
2024;Europa;Altri paesi europei;Regno Unito;Femmine;8846;2768;6078
2024;Europa;Altri paesi europei;Regno Unito;Totale;18469;6026;12443
2024;Europa;Altri paesi europei;Islanda;Maschi;47;7;40
2024;Europa;Altri paesi europei;Islanda;Femmine;38;5;33
2024;Europa;Altri paesi europei;Islanda;Totale;85;12;73
2024;Europa;Altri paesi europei;Liechtenstein;Maschi;6;12;-6
2024;Europa;Altri paesi europei;Liechtenstein;Femmine;8;3;5
2024;Europa;Altri paesi europei;Liechtenstein;Totale;14;15;-1
2024;Europa;Altri paesi europei;Monaco;Maschi;61;56;5
2024;Europa;Altri paesi europei;Monaco;Femmine;76;54;22
2024;Europa;Altri paesi europei;Monaco;Totale;137;110;27
2024;Europa;Altri paesi europei;Norvegia;Maschi;393;105;288
2024;Europa;Altri paesi europei;Norvegia;Femmine;270;74;196
2024;Europa;Altri paesi europei;Norvegia;Totale;663;179;484
2024;Europa;Altri paesi europei;San Marino;Maschi;184;72;112
2024;Europa;Altri paesi europei;San Marino;Femmine;116;54;62
2024;Europa;Altri paesi europei;San Marino;Totale;300;126;174
2024;Europa;Altri paesi europei;Svizzera;Maschi;8825;2587;6238
2024;Europa;Altri paesi europei;Svizzera;Femmine;6381;1858;4523
2024;Europa;Altri paesi europei;Svizzera;Totale;15206;4445;10761
2024;Europa;Altri paesi europei;Stato della Città del Vaticano;Maschi;0;0;0
2024;Europa;Altri paesi europei;Stato della Città del Vaticano;Femmine;0;1;-1
2024;Europa;Altri paesi europei;Stato della Città del Vaticano;Totale;0;1;-1
2024;Africa;Africa settentrionale;Algeria;Maschi;26;28;-2
2024;Africa;Africa settentrionale;Algeria;Femmine;10;14;-4
2024;Africa;Africa settentrionale;Algeria;Totale;36;42;-6
2024;Africa;Africa settentrionale;Egitto;Maschi;119;168;-49
2024;Africa;Africa settentrionale;Egitto;Femmine;112;118;-6
2024;Africa;Africa settentrionale;Egitto;Totale;231;286;-55
2024;Africa;Africa settentrionale;Libia;Maschi;6;8;-2
2024;Africa;Africa settentrionale;Libia;Femmine;6;4;2
2024;Africa;Africa settentrionale;Libia;Totale;12;12;0
2024;Africa;Africa settentrionale;Marocco;Maschi;194;253;-59
2024;Africa;Africa settentrionale;Marocco;Femmine;164;243;-79
2024;Africa;Africa settentrionale;Marocco;Totale;358;496;-138
2024;Africa;Africa settentrionale;Sudan;Maschi;1;7;-6
2024;Africa;Africa settentrionale;Sudan;Femmine;0;6;-6
2024;Africa;Africa settentrionale;Sudan;Totale;1;13;-12
2024;Africa;Africa settentrionale;Tunisia;Maschi;386;289;97
2024;Africa;Africa settentrionale;Tunisia;Femmine;166;185;-19
2024;Africa;Africa settentrionale;Tunisia;Totale;552;474;78
2024;Africa;Africa settentrionale;Sud Sudan;Maschi;1;1;0
2024;Africa;Africa settentrionale;Sud Sudan;Femmine;1;2;-1
2024;Africa;Africa settentrionale;Sud Sudan;Totale;2;3;-1
2024;Africa;Africa occidentale;Costa d'Avorio;Maschi;38;33;5
2024;Africa;Africa occidentale;Costa d'Avorio;Femmine;18;15;3
2024;Africa;Africa occidentale;Costa d'Avorio;Totale;56;48;8
2024;Africa;Africa occidentale;Benin;Maschi;7;6;1
2024;Africa;Africa occidentale;Benin;Femmine;5;3;2
2024;Africa;Africa occidentale;Benin;Totale;12;9;3
2024;Africa;Africa occidentale;Burkina Faso;Maschi;13;15;-2
2024;Africa;Africa occidentale;Burkina Faso;Femmine;7;5;2
2024;Africa;Africa occidentale;Burkina Faso;Totale;20;20;0
2024;Africa;Africa occidentale;Capo Verde;Maschi;16;15;1
2024;Africa;Africa occidentale;Capo Verde;Femmine;23;4;19
2024;Africa;Africa occidentale;Capo Verde;Totale;39;19;20
2024;Africa;Africa occidentale;Gambia;Maschi;1;3;-2
2024;Africa;Africa occidentale;Gambia;Femmine;0;0;0
2024;Africa;Africa occidentale;Gambia;Totale;1;3;-2
2024;Africa;Africa occidentale;Ghana;Maschi;25;32;-7
2024;Africa;Africa occidentale;Ghana;Femmine;16;26;-10
2024;Africa;Africa occidentale;Ghana;Totale;41;58;-17
2024;Africa;Africa occidentale;Guinea;Maschi;4;1;3
2024;Africa;Africa occidentale;Guinea;Femmine;0;1;-1
2024;Africa;Africa occidentale;Guinea;Totale;4;2;2
2024;Africa;Africa occidentale;Guinea-Bissau;Maschi;3;2;1
2024;Africa;Africa occidentale;Guinea-Bissau;Femmine;0;2;-2
2024;Africa;Africa occidentale;Guinea-Bissau;Totale;3;4;-1
2024;Africa;Africa occidentale;Liberia;Maschi;1;1;0
2024;Africa;Africa occidentale;Liberia;Femmine;0;0;0
2024;Africa;Africa occidentale;Liberia;Totale;1;1;0
2024;Africa;Africa occidentale;Mali;Maschi;3;3;0
2024;Africa;Africa occidentale;Mali;Femmine;3;1;2
2024;Africa;Africa occidentale;Mali;Totale;6;4;2
2024;Africa;Africa occidentale;Mauritania;Maschi;2;0;2
2024;Africa;Africa occidentale;Mauritania;Femmine;3;0;3
2024;Africa;Africa occidentale;Mauritania;Totale;5;0;5
2024;Africa;Africa occidentale;Niger;Maschi;0;2;-2
2024;Africa;Africa occidentale;Niger;Femmine;0;2;-2
2024;Africa;Africa occidentale;Niger;Totale;0;4;-4
2024;Africa;Africa occidentale;Nigeria;Maschi;30;48;-18
2024;Africa;Africa occidentale;Nigeria;Femmine;18;18;0
2024;Africa;Africa occidentale;Nigeria;Totale;48;66;-18
2024;Africa;Africa occidentale;Senegal;Maschi;169;157;12
2024;Africa;Africa occidentale;Senegal;Femmine;113;116;-3
2024;Africa;Africa occidentale;Senegal;Totale;282;273;9
2024;Africa;Africa occidentale;Sierra Leone;Maschi;3;1;2
2024;Africa;Africa occidentale;Sierra Leone;Femmine;2;1;1
2024;Africa;Africa occidentale;Sierra Leone;Totale;5;2;3
2024;Africa;Africa occidentale;Togo;Maschi;3;9;-6
2024;Africa;Africa occidentale;Togo;Femmine;2;4;-2
2024;Africa;Africa occidentale;Togo;Totale;5;13;-8
2024;Africa;Africa orientale;Burundi;Maschi;2;4;-2
